"PointID","x","y","Density","Momentum_x","Momentum_y","Energy","Turb_Kin_Energy","Omega","LM_gamma","LM_Re_t"
20482, 7.075356900000001e-01, 6.540268000000000e-02, 9.922044929492763e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.775121250489500e+00, 1.000000000000000e-10, 8.551464891712906e+04, 3.577749932715484e-01, 8.489088189134995e+02
20748, 6.823953200000000e-01, 6.949945000000000e-02, 9.918236472438665e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.774215470712044e+00, 1.000000000000000e-10, 8.542307117934422e+04, 3.579771058595480e-01, 8.500808232331931e+02
21014, 6.572180399999999e-01, 7.336286000000000e-02, 9.914545333647252e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.773339124817195e+00, 1.000000000000000e-10, 8.534723726787262e+04, 3.582347611985051e-01, 8.512799430930116e+02
21280, 6.320055000000000e-01, 7.698909000000000e-02, 9.910917659682343e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.772476711791982e+00, 1.000000000000000e-10, 8.527616475573192e+04, 3.586339843074348e-01, 8.525397233092490e+02
21546, 6.067593700000000e-01, 8.037349000000001e-02, 9.907348860476745e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.771629387010238e+00, 1.000000000000000e-10, 8.523748120120114e+04, 3.591513723532088e-01, 8.542871206035588e+02
21812, 5.814813100000000e-01, 8.351047000000000e-02, 9.903785840748838e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.770786113529459e+00, 1.000000000000000e-10, 8.522707970738391e+04, 3.595501126270159e-01, 8.556002147819952e+02
22078, 5.561730400000000e-01, 8.639351000000001e-02, 9.900201660080740e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.769945351884402e+00, 1.000000000000000e-10, 8.519157890568416e+04, 3.600686250138921e-01, 8.569797271801308e+02
22344, 5.308363500000000e-01, 8.901507000000000e-02, 9.896534897590451e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.769098515430874e+00, 1.000000000000000e-10, 8.519846772334883e+04, 3.606813828277945e-01, 8.585199558817467e+02
22610, 5.054731700000000e-01, 9.136648000000000e-02, 9.892723883521436e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.768239990318809e+00, 1.000000000000000e-10, 8.522202874806896e+04, 3.613541305895824e-01, 8.600427131229258e+02
22876, 4.800856000000000e-01, 9.343790000000000e-02, 9.888670844822239e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.767354175458254e+00, 1.000000000000000e-10, 8.523886010337771e+04, 3.622601157330269e-01, 8.616539917944081e+02
23142, 4.546759700000000e-01, 9.521816000000000e-02, 9.884279144654980e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.766419200681683e+00, 1.000000000000000e-10, 8.526658847121947e+04, 3.635554752232479e-01, 8.636067058828304e+02
23408, 4.292468800000000e-01, 9.669464000000000e-02, 9.879389064483176e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.765385898755173e+00, 1.000000000000000e-10, 8.527408516794558e+04, 3.650171913784857e-01, 8.656041456336690e+02
23674, 4.038013500000000e-01, 9.785310000000000e-02, 9.873953154109458e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.764230136275178e+00, 1.000000000000000e-10, 8.532567307729382e+04, 3.658634898173529e-01, 8.679315956402963e+02
23940, 3.783407900000000e-01, 9.860455999999999e-02, 9.868449082467016e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.763122176482791e+00, 1.000000000000000e-10, 8.535871506428142e+04, 3.663163737422072e-01, 8.706131942432608e+02
24206, 3.528702400000000e-01, 9.883720000000000e-02, 9.863493762426032e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.762228432313258e+00, 1.000000000000000e-10, 8.540661049089419e+04, 3.676064351927418e-01, 8.740482496687368e+02
24472, 3.274004900000000e-01, 9.853199000000000e-02, 9.859239219001301e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.761494533170665e+00, 1.000000000000000e-10, 8.544430306896963e+04, 3.684277046297682e-01, 8.776376921863324e+02
24738, 3.019436500000000e-01, 9.766706999999999e-02, 9.855417323312351e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.760888469545529e+00, 1.000000000000000e-10, 8.547895504216608e+04, 3.687815273523551e-01, 8.810135956739368e+02
25004, 2.765134400000000e-01, 9.621754000000000e-02, 9.852050731438486e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.760409345557085e+00, 1.000000000000000e-10, 8.551669704810790e+04, 3.692613511809039e-01, 8.841389960653081e+02
25270, 2.511257000000000e-01, 9.415461999999999e-02, 9.849223005773304e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.760068430434396e+00, 1.000000000000000e-10, 8.553388314970565e+04, 3.692796886225241e-01, 8.875325655426424e+02
25536, 2.257989600000000e-01, 9.144447000000000e-02, 9.846906001623860e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.759855991101956e+00, 1.000000000000000e-10, 8.555865818555735e+04, 3.693494758210879e-01, 8.911127343003375e+02
25802, 2.005554000000000e-01, 8.804648000000000e-02, 9.845338187233194e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.759834886002290e+00, 1.000000000000000e-10, 8.560060579482363e+04, 3.696379153937964e-01, 8.948362150135596e+02
26068, 1.754996600000000e-01, 8.392450000000000e-02, 9.843887487182358e-01, 0.000000000000000e+00, 0.000000000000000e+00, 1.759905499322361e+00, 1.000000000000000e-10, 8.562091679215396e+04, 3.702425369515168e-01, 8.984066706644702e+02
