x,y,cp,yplus,cf,source,surface
0.34719,0.07398,-0.70201,,0.006493,xfoil,upper
0.36082,-0.04509,0.03573,,0.001525,xfoil,lower
0.36346,0.07326,-0.67375,,0.006221,xfoil,upper
0.37715,-0.04499,0.03168,,0.001467,xfoil,lower
0.37978,0.07244,-0.64675,,0.005978,xfoil,upper
0.39353,-0.04481,0.02856,,0.001408,xfoil,lower
0.39614,0.07154,-0.62111,,0.005762,xfoil,upper
0.40995,-0.04454,0.02602,,0.001354,xfoil,lower
0.41252,0.07054,-0.59591,,0.00556,xfoil,upper
0.4264,-0.04419,0.02381,,0.001308,xfoil,lower
0.42894,0.06947,-0.57148,,0.005376,xfoil,upper
0.44288,-0.04377,0.02234,,0.001258,xfoil,lower
0.44539,0.06831,-0.5479,,0.005206,xfoil,upper
0.45939,-0.04327,0.02095,,0.001219,xfoil,lower
0.46186,0.06709,-0.52467,,0.005046,xfoil,upper
0.47593,-0.0427,0.02044,,0.00117,xfoil,lower
0.47836,0.06579,-0.50342,,0.00491,xfoil,upper
0.49248,-0.04207,0.01969,,0.001138,xfoil,lower
0.49487,0.06443,-0.48092,,0.004764,xfoil,upper
0.50907,-0.04137,0.01995,,0.001091,xfoil,lower
0.51141,0.063,-0.45988,,0.004636,xfoil,upper
0.52567,-0.04061,0.0201,,0.001056,xfoil,lower
0.52796,0.06151,-0.43921,,0.004513,xfoil,upper
0.54228,-0.0398,0.02077,,0.001018,xfoil,lower
0.54452,0.05996,-0.41916,,0.004398,xfoil,upper
0.55892,-0.03893,0.02141,,0.000987,xfoil,lower
0.5611,0.05836,-0.39941,,0.004286,xfoil,upper
0.57556,-0.03801,0.02252,,0.000951,xfoil,lower
0.57769,0.0567,-0.37994,,0.004178,xfoil,upper
0.59222,-0.03703,0.02385,,0.000918,xfoil,lower
0.59429,0.055,-0.36087,,0.004075,xfoil,upper
0.6089,-0.03601,0.02535,,0.000887,xfoil,lower
0.6109,0.05324,-0.34233,,0.003976,xfoil,upper
0.62558,-0.03494,0.02721,,0.000853,xfoil,lower
0.62752,0.05144,-0.32376,,0.003878,xfoil,upper
0.64226,-0.03383,0.02915,,0.000823,xfoil,lower
0.64414,0.04959,-0.30534,,0.003781,xfoil,upper
0.65896,-0.03267,0.03145,,0.00079,xfoil,lower
